Symbol,Date,ROE,ROA,ROC,OpMargin,NetProfitMargin,EPS,DebtToAssets,DebtToEquity,BVPS
MSFT,2023-06-30,0.0550558070291359,0.04969080723148921,0.0956916278702754,0.4316503230169606,0.357383117692075,2.7019644779332617,0.14555459541332505,0.2907774593522546,27.7479817007535
MSFT,2023-03-31,0.05513773133500865,0.0491973257982362,0.09202405997702692,0.4228768185859962,0.3461982329681972,2.4605351620276994,0.15923154637873335,0.310874601274893,26.177625386580612
MSFT,2022-12-31,0.05190623064379527,0.04614075736794751,0.0882111289848304,0.3867328947617874,0.3113921170872277,2.2055861420706324,0.164898286115561,0.3282478595142408,24.59191620786894
MSFT,2022-09-30,0.05642077117385799,0.04992161963844974,0.0993392982519308,0.4403655081600894,0.3502653525398029,2.3542979750569932,0.16755053031819092,0.3473145662168858,23.27557999195387
MSFT,2022-06-30,0.053132905265363,0.04699397978291854,0.09492286996759475,0.3959124650535043,0.3227610141714065,2.242765273311897,0.16793662975550927,0.36789518559882795,22.312700964630224
AAPL,2023-06-30,0.08806332444475944,0.06194460005133746,0.13563820375809477,0.2811594557257601,0.24305292370135825,1.2705245212958085,0.32617195661387666,1.8130537213392175,3.851898546178943
AAPL,2023-03-31,0.10856231324001887,0.07511939101637764,0.1648571079273227,0.2985996878822388,0.25475557805052934,1.5365627523705743,0.3300066233140655,1.7634898162746548,3.953214716963996
AAPL,2022-12-31,0.12730598335575483,0.08894849065168552,0.21458915495391362,0.30742441572630896,0.2560561312460522,1.8935253967405332,0.32043536065200273,1.9586792885222204,3.5807058864224355
AAPL,2022-09-30,0.08905133957350249,0.06071065184051254,0.14579977861204982,0.27615202005635303,0.22986044860559537,1.2996580094929415,0.3403750478377344,2.3695334701610355,3.178238051108843
AAPL,2022-06-30,0.08975246747731029,0.05961194923121296,0.12978773664495663,0.2781615014645789,0.2343567304331055,1.207924411591949,0.35589591714762314,2.059837885280603,3.610166844171041
